image,label,dataset,kfold0,kfold1,kfold2,kfold3,kfold4
../data/AML_LMU/Atypical Lymphocyte/LYA_0001.tiff,Atypical Lymphocyte,AML_LMU,train,train,train,test,val
../data/AML_LMU/Atypical Lymphocyte/LYA_0002.tiff,Atypical Lymphocyte,AML_LMU,train,test,val,train,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0003.tiff,Atypical Lymphocyte,AML_LMU,test,val,train,train,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0004.tiff,Atypical Lymphocyte,AML_LMU,test,val,train,train,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0005.tiff,Atypical Lymphocyte,AML_LMU,train,test,val,train,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0006.tiff,Atypical Lymphocyte,AML_LMU,train,test,val,train,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0007.tiff,Atypical Lymphocyte,AML_LMU,val,train,train,train,test
../data/AML_LMU/Atypical Lymphocyte/LYA_0008.tiff,Atypical Lymphocyte,AML_LMU,train,train,test,val,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0009.tiff,Atypical Lymphocyte,AML_LMU,val,train,train,train,test
../data/AML_LMU/Atypical Lymphocyte/LYA_0010.tiff,Atypical Lymphocyte,AML_LMU,train,train,test,val,train
../data/AML_LMU/Atypical Lymphocyte/LYA_0011.tiff,Atypical Lymphocyte,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0001.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0002.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0003.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0004.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0005.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0006.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0007.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0008.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0009.tiff,Band Neutrophil,AML_LMU,train,train,test,val,train
../data/AML_LMU/Band Neutrophil/NGB_0010.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0011.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
../data/AML_LMU/Band Neutrophil/NGB_0012.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0013.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0014.tiff,Band Neutrophil,AML_LMU,test,val,train,train,train
../data/AML_LMU/Band Neutrophil/NGB_0015.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0016.tiff,Band Neutrophil,AML_LMU,train,test,val,train,train
../data/AML_LMU/Band Neutrophil/NGB_0017.tiff,Band Neutrophil,AML_LMU,val,train,train,train,test
../data/AML_LMU/Band Neutrophil/NGB_0018.tiff,Band Neutrophil,AML_LMU,train,train,train,test,val
