[epoch 11] train_loss: 1.045  train_acc: 0.628  val_accuracy: 0.717
[epoch 12] train_loss: 0.981  train_acc: 0.656  val_accuracy: 0.689
[epoch 13] train_loss: 1.099  train_acc: 0.626  val_accuracy: 0.617
[epoch 14] train_loss: 1.246  train_acc: 0.574  val_accuracy: 0.634
[epoch 15] train_loss: 1.148  train_acc: 0.605  val_accuracy: 0.658
[epoch 1] train_loss: 1.782  train_acc: 0.405  val_accuracy: 0.179
[epoch 2] train_loss: 1.619  train_acc: 0.446  val_accuracy: 0.512
[epoch 3] train_loss: 1.434  train_acc: 0.502  val_accuracy: 0.563
[epoch 4] train_loss: 1.426  train_acc: 0.506  val_accuracy: 0.606
[epoch 5] train_loss: 1.279  train_acc: 0.551  val_accuracy: 0.640
[epoch 6] train_loss: 1.182  train_acc: 0.589  val_accuracy: 0.631
[epoch 7] train_loss: 1.153  train_acc: 0.597  val_accuracy: 0.683
[epoch 8] train_loss: 1.103  train_acc: 0.625  val_accuracy: 0.699
[epoch 9] train_loss: 1.685  train_acc: 0.432  val_accuracy: 0.413
[epoch 10] train_loss: 1.582  train_acc: 0.463  val_accuracy: 0.515
[epoch 11] train_loss: 1.421  train_acc: 0.513  val_accuracy: 0.535
[epoch 12] train_loss: 1.369  train_acc: 0.530  val_accuracy: 0.618
[epoch 13] train_loss: 1.251  train_acc: 0.568  val_accuracy: 0.597
[epoch 14] train_loss: 1.305  train_acc: 0.549  val_accuracy: 0.636
[epoch 15] train_loss: 1.176  train_acc: 0.591  val_accuracy: 0.652
[epoch 16] train_loss: 1.105  train_acc: 0.619  val_accuracy: 0.680
[epoch 17] train_loss: 1.066  train_acc: 0.633  val_accuracy: 0.700
[epoch 18] train_loss: 1.006  train_acc: 0.654  val_accuracy: 0.697
[epoch 19] train_loss: 0.984  train_acc: 0.661  val_accuracy: 0.698
[epoch 20] train_loss: 0.940  train_acc: 0.677  val_accuracy: 0.677
[epoch 21] train_loss: 0.931  train_acc: 0.677  val_accuracy: 0.722
[epoch 22] train_loss: 1.068  train_acc: 0.642  val_accuracy: 0.630
[epoch 23] train_loss: 1.001  train_acc: 0.655  val_accuracy: 0.708
[epoch 24] train_loss: 0.895  train_acc: 0.691  val_accuracy: 0.737
[epoch 25] train_loss: 0.854  train_acc: 0.709  val_accuracy: 0.752
[epoch 26] train_loss: 0.839  train_acc: 0.713  val_accuracy: 0.768
[epoch 27] train_loss: 0.813  train_acc: 0.722  val_accuracy: 0.767
[epoch 28] train_loss: 0.798  train_acc: 0.726  val_accuracy: 0.758
[epoch 29] train_loss: 0.776  train_acc: 0.735  val_accuracy: 0.776
[epoch 30] train_loss: 0.768  train_acc: 0.738  val_accuracy: 0.781
[epoch 31] train_loss: 0.807  train_acc: 0.726  val_accuracy: 0.639
[epoch 32] train_loss: 0.829  train_acc: 0.718  val_accuracy: 0.766
[epoch 33] train_loss: 0.762  train_acc: 0.741  val_accuracy: 0.788
[epoch 34] train_loss: 0.730  train_acc: 0.753  val_accuracy: 0.774
[epoch 35] train_loss: 0.710  train_acc: 0.762  val_accuracy: 0.786
[epoch 36] train_loss: 0.698  train_acc: 0.766  val_accuracy: 0.792
[epoch 37] train_loss: 0.683  train_acc: 0.769  val_accuracy: 0.814
[epoch 38] train_loss: 0.667  train_acc: 0.776  val_accuracy: 0.817
[epoch 39] train_loss: 0.663  train_acc: 0.775  val_accuracy: 0.793
[epoch 40] train_loss: 0.682  train_acc: 0.771  val_accuracy: 0.785
[epoch 41] train_loss: 0.697  train_acc: 0.765  val_accuracy: 0.781
[epoch 42] train_loss: 0.677  train_acc: 0.777  val_accuracy: 0.813
[epoch 43] train_loss: 0.636  train_acc: 0.784  val_accuracy: 0.802
[epoch 44] train_loss: 0.620  train_acc: 0.788  val_accuracy: 0.810
[epoch 45] train_loss: 0.695  train_acc: 0.769  val_accuracy: 0.305
[epoch 46] train_loss: 2.051  train_acc: 0.331  val_accuracy: 0.408
[epoch 47] train_loss: 1.687  train_acc: 0.417  val_accuracy: 0.511
[epoch 48] train_loss: 1.561  train_acc: 0.462  val_accuracy: 0.499
[epoch 49] train_loss: 1.504  train_acc: 0.483  val_accuracy: 0.510
[epoch 50] train_loss: 1.489  train_acc: 0.485  val_accuracy: 0.484
[epoch 51] train_loss: 1.456  train_acc: 0.496  val_accuracy: 0.538
[epoch 52] train_loss: 1.553  train_acc: 0.454  val_accuracy: 0.459
[epoch 53] train_loss: 1.518  train_acc: 0.460  val_accuracy: 0.508
[epoch 54] train_loss: 1.434  train_acc: 0.490  val_accuracy: 0.523
[epoch 55] train_loss: 1.391  train_acc: 0.512  val_accuracy: 0.534
[epoch 56] train_loss: 1.342  train_acc: 0.531  val_accuracy: 0.582
[epoch 57] train_loss: 1.283  train_acc: 0.550  val_accuracy: 0.582
[epoch 58] train_loss: 1.220  train_acc: 0.581  val_accuracy: 0.613
[epoch 59] train_loss: 1.169  train_acc: 0.598  val_accuracy: 0.601
[epoch 60] train_loss: 1.129  train_acc: 0.613  val_accuracy: 0.653
[epoch 61] train_loss: 1.091  train_acc: 0.627  val_accuracy: 0.643
[epoch 62] train_loss: 1.048  train_acc: 0.648  val_accuracy: 0.653
[epoch 63] train_loss: 1.011  train_acc: 0.655  val_accuracy: 0.711
[epoch 64] train_loss: 0.960  train_acc: 0.677  val_accuracy: 0.734
[epoch 65] train_loss: 0.934  train_acc: 0.687  val_accuracy: 0.735
[epoch 66] train_loss: 0.899  train_acc: 0.697  val_accuracy: 0.744
[epoch 67] train_loss: 0.875  train_acc: 0.707  val_accuracy: 0.705
[epoch 68] train_loss: 0.841  train_acc: 0.720  val_accuracy: 0.765
[epoch 69] train_loss: 0.829  train_acc: 0.725  val_accuracy: 0.724
[epoch 70] train_loss: 0.814  train_acc: 0.730  val_accuracy: 0.741
[epoch 71] train_loss: 0.792  train_acc: 0.735  val_accuracy: 0.786
[epoch 72] train_loss: 0.764  train_acc: 0.747  val_accuracy: 0.786
[epoch 73] train_loss: 0.744  train_acc: 0.750  val_accuracy: 0.783
[epoch 74] train_loss: 0.738  train_acc: 0.754  val_accuracy: 0.760
[epoch 75] train_loss: 0.702  train_acc: 0.766  val_accuracy: 0.793
[epoch 76] train_loss: 0.707  train_acc: 0.768  val_accuracy: 0.774
[epoch 77] train_loss: 0.684  train_acc: 0.774  val_accuracy: 0.789
[epoch 78] train_loss: 0.667  train_acc: 0.776  val_accuracy: 0.810
[epoch 79] train_loss: 0.662  train_acc: 0.779  val_accuracy: 0.765
[epoch 80] train_loss: 0.653  train_acc: 0.782  val_accuracy: 0.807
[epoch 81] train_loss: 0.835  train_acc: 0.728  val_accuracy: 0.677
[epoch 82] train_loss: 1.000  train_acc: 0.657  val_accuracy: 0.697
[epoch 83] train_loss: 0.994  train_acc: 0.662  val_accuracy: 0.712
[epoch 84] train_loss: 0.976  train_acc: 0.672  val_accuracy: 0.727
